likes;coms;signets;partages;E
101335.333333333;1596.83333333333;10876.1666666667;2046.16666666667;GTA6
5124.6;44.6;248;22.2;Candice poils
376;37.25;55.75;17.25;Cyril hanouna chute
64791.2;519;7872.4;563.4;Cargo mouillé
197.5;16;34;1;Skin gratuit lego fortnite
54.6666666666667;2.66666666666667;3.66666666666667;0;L'oral de stage 3eme
1159;214;268;61;Le président Macron humilié à Dubai
144540;1142.8;15323.4;4130;pubg tiktok videos
887020;5585.6;123900;14934.6;Cristiano Ronaldo
406080.8;1821.2;61657.8;7714.2;Try not to laugh level hard 100000000000
10968.1666666667;184.333333333333;1142.66666666667;213;Gaza pnl
178.2;25;12;1.6;Boutique aujourd'hui 9 décembre
16707;139.5;1439;213.5;Savannah et Justriadh se marient
400295.833333333;5791.5;26198.6666666667;13406.1666666667;french riots
1006.75;21;88;19.5;Ibra tv perd son oeil
